join_tr_se,transect,join_sec,lat,lon,ele,time,distance,slope,veg_height,observer,join_ufcm
2515,TR144,A,-54.75213404,158.807197,171.704391,2018-03-01T06:06:13Z,0.3,D,S,PP,5
2515,TR144,A,-54.752142,158.807202,173.266754,2018-03-01T06:06:34Z,0.5,D,S,PP,5
2515,TR144,A,-54.75212197,158.807202,175.413574,2018-03-01T06:05:56Z,0.3,D,S,PP,5
2517,TR144,A,-54.75501297,158.809504,202.30159,2018-03-01T06:14:56Z,1.4,D,S,PP,5
2515,TR144,A,-54.75215298,158.807284,169.496109,2018-03-01T06:07:07Z,3.5,D,S,PP,5
2517,TR144,A,-54.75502596,158.809499,202.299271,2018-03-01T06:14:43Z,1.2,D,S,PP,5
2506,TR143,A,-54.75565896,158.805556,220.337448,2018-03-01T05:34:58Z,2.8,D,S,PP,8
2573,TR147,D,-54.72118797,158.816809,226.569244,2018-03-02T01:25:21Z,1.2,D,S,PP,5
2573,TR147,D,-54.72119199,158.816745,226.574997,2018-03-02T01:25:37Z,0.4,D,S,PP,5
2573,TR147,D,-54.72118101,158.816873,226.937912,2018-03-02T01:24:47Z,2.8,D,S,PP,5
2573,TR147,D,-54.72118797,158.816809,226.569244,2018-03-02T01:25:18Z,1.3,D,S,PP,5
2573,TR147,D,-54.72116802,158.81681,226.583817,2018-03-02T01:26:08Z,2.3,D,S,PP,5
2589,TR147,D,-54.72116098,158.816812,226.070755,2018-03-02T01:26:24Z,1.2,D,S,PP,6
2573,TR147,D,-54.72119099,158.816753,226.577667,2018-03-02T01:25:39Z,0.4,D,S,PP,5
2573,TR147,D,-54.72118998,158.816754,226.577667,2018-03-02T01:25:51Z,1.3,D,S,PP,5
2586,TR147,D,-54.72112804,158.816728,226.096268,2018-03-02T01:27:22Z,1,U,S,PP,8
2586,TR147,D,-54.72111496,158.816666,227.156708,2018-03-02T01:27:30Z,1.4,U,S,PP,8
2589,TR147,D,-54.72114396,158.816792,226.085938,2018-03-02T01:26:56Z,0.9,D,S,PP,6
2586,TR147,D,-54.72113801,158.816755,226.092834,2018-03-02T01:27:15Z,0.5,U,S,PP,8
2586,TR147,D,-54.720992,158.816623,227.253571,2018-03-02T01:28:42Z,1.1,U,S,PP,8
2586,TR147,D,-54.72092503,158.816641,225.777786,2018-03-02T01:29:13Z,2.4,D,S,PP,8
2586,TR147,D,-54.721079,158.816693,227.169952,2018-03-02T01:27:45Z,1.5,U,S,PP,8
2586,TR147,D,-54.72101304,158.816664,227.226578,2018-03-02T01:28:13Z,0.5,U,S,PP,8
2571,TR147,D,-54.72270601,158.81767,245.108047,2018-03-02T01:18:30Z,0.5,F,S,PP,5
2571,TR147,D,-54.722718,158.817659,245.122284,2018-03-02T01:18:49Z,1.3,F,S,PP,5
2571,TR147,D,-54.72271498,158.817642,244.839615,2018-03-02T01:18:16Z,2.4,F,S,PP,5
2571,TR147,D,-54.72270601,158.81767,245.108047,2018-03-02T01:18:28Z,0.6,F,S,PP,5
2577,TR147,D,-54.72198601,158.817301,236.943558,2018-03-02T01:21:34Z,1.4,F,S,PP,2
2577,TR147,D,-54.72198601,158.817299,236.943558,2018-03-02T01:21:37Z,1.6,F,S,PP,2
2571,TR147,D,-54.72272303,158.817656,245.122284,2018-03-02T01:18:52Z,2.3,F,S,PP,5
2577,TR147,D,-54.72198601,158.817307,236.622406,2018-03-02T01:21:22Z,0.6,F,S,PP,2
2577,TR147,D,-54.72198098,158.817293,237.974701,2018-03-02T01:21:59Z,1.2,F,S,PP,2
2577,TR147,D,-54.72196497,158.817277,237.984024,2018-03-02T01:22:13Z,2.1,F,S,PP,2
2577,TR147,D,-54.721985,158.817301,237.985596,2018-03-02T01:21:38Z,1.7,F,S,PP,2
2577,TR147,D,-54.72198199,158.817292,237.974701,2018-03-02T01:21:57Z,1.2,F,S,PP,2
2585,TR147,D,-54.72186003,158.817268,238.058655,2018-03-02T01:22:56Z,2.5,D,S,PP,8
2573,TR147,D,-54.72118696,158.816877,227.567657,2018-03-02T01:24:44Z,3.4,D,S,PP,5
2585,TR147,D,-54.72186003,158.817271,238.058655,2018-03-02T01:22:42Z,1.3,D,S,PP,8
2585,TR147,D,-54.72185802,158.817267,238.058655,2018-03-02T01:22:51Z,2.3,D,S,PP,8
2584,TR147,D,-54.72420202,158.818573,279.146851,2018-03-02T01:11:09Z,0.1,D,S,PP,8
2584,TR147,D,-54.72416103,158.818555,274.866333,2018-03-02T01:11:46Z,2.4,D,S,PP,8
2584,TR147,D,-54.72422699,158.818575,279.130829,2018-03-02T01:10:00Z,3.5,D,S,PP,8
2584,TR147,D,-54.72422398,158.818569,279.130829,2018-03-02T01:10:22Z,3.6,D,S,PP,8
2575,TR147,D,-54.72395198,158.818247,259.924866,2018-03-02T01:13:39Z,0.5,D,S,PP,2
2575,TR147,D,-54.723954,158.818243,259.924866,2018-03-02T01:13:53Z,0.7,D,S,PP,2
2575,TR147,D,-54.72415198,158.81851,276.043091,2018-03-02T01:12:31Z,2.4,D,S,PP,2
2575,TR147,D,-54.72395299,158.818251,258.761932,2018-03-02T01:13:20Z,0.5,D,S,PP,2
2571,TR147,D,-54.72273602,158.817623,244.226349,2018-03-02T01:16:40Z,3.5,F,S,PP,5
2571,TR147,D,-54.72272898,158.817636,244.237381,2018-03-02T01:17:02Z,2.5,F,S,PP,5
2575,TR147,D,-54.72383799,158.81812,253.903732,2018-03-02T01:14:26Z,0.2,D,S,PP,2
2571,TR147,D,-54.72273803,158.817635,244.723083,2018-03-02T01:16:30Z,1.6,F,S,PP,5
2571,TR147,D,-54.72272898,158.817624,244.237381,2018-03-02T01:17:11Z,3.8,F,S,PP,5
2571,TR147,D,-54.72272999,158.817641,243.728363,2018-03-02T01:17:59Z,3.5,F,S,PP,5
2571,TR147,D,-54.72272898,158.817634,244.237381,2018-03-02T01:17:04Z,2.8,F,S,PP,5
2571,TR147,D,-54.72272797,158.817624,244.237381,2018-03-02T01:17:08Z,3.4,F,S,PP,5
2555,TR145,A,-54.73303302,158.830776,316.029663,2018-03-01T23:36:41Z,0.3,F,S,PP,3
2555,TR145,A,-54.73302397,158.83079,316.027191,2018-03-01T23:36:54Z,1.5,F,S,PP,3
2555,TR145,A,-54.73303998,158.830755,316.035004,2018-03-01T23:36:21Z,2.3,F,S,PP,3
2555,TR145,A,-54.73303403,158.83078,316.031525,2018-03-01T23:36:35Z,0.1,F,S,PP,3
2555,TR145,A,-54.73303503,158.830764,316.023956,2018-03-01T23:37:23Z,0.9,F,S,PP,3
2555,TR145,A,-54.73304803,158.830722,316.022827,2018-03-01T23:37:33Z,3.5,F,S,PP,3
2555,TR145,A,-54.73302799,158.830792,316.026276,2018-03-01T23:36:56Z,1.3,F,S,PP,3
2555,TR145,A,-54.73302296,158.830797,316.026276,2018-03-01T23:36:58Z,1.6,F,S,PP,3
2550,TR145,A,-54.73203801,158.82979,317.193573,2018-03-01T23:40:59Z,5.5,F,S,PP,2
2550,TR145,A,-54.73203197,158.829791,318.33197,2018-03-01T23:41:27Z,4,F,S,PP,2
2555,TR145,A,-54.73303403,158.830661,316.370941,2018-03-01T23:38:07Z,4.8,F,S,PP,3
2550,TR145,A,-54.732037,158.82983,316.100525,2018-03-01T23:40:35Z,2.3,F,S,PP,2
2565,TR146,A,-54.73007698,158.825074,341.002655,2018-03-02T00:07:32Z,0.1,U,S,PP,8
2584,TR147,D,-54.72422599,158.818582,279.21167,2018-03-02T01:09:50Z,1.5,D,S,PP,8
2550,TR145,A,-54.73203097,158.829795,318.33197,2018-03-01T23:41:29Z,3.8,F,S,PP,2
2605,TR150,A,-54.722934,158.815038,238.216827,2018-03-02T04:03:57Z,3.5,F,S,PP,3
2605,TR150,A,-54.72294901,158.815025,238.249359,2018-03-02T04:04:11Z,3,F,S,PP,3
2605,TR150,A,-54.722919,158.815,238.76712,2018-03-02T04:03:24Z,4.6,F,S,PP,3
2605,TR150,A,-54.72292998,158.815024,238.775497,2018-03-02T04:03:44Z,3.5,F,S,PP,3
2597,TR150,A,-54.72326299,158.814774,232.329224,2018-03-02T04:05:50Z,6.1,D,S,PP,2
2597,TR150,A,-54.72326098,158.814748,232.338257,2018-03-02T04:06:01Z,6.2,D,S,PP,2
2597,TR150,A,-54.72326098,158.814801,232.316544,2018-03-02T04:05:36Z,3.9,D,S,PP,2
2597,TR150,A,-54.72328001,158.814794,232.377991,2018-03-02T04:07:02Z,2.8,D,S,PP,2
2597,TR150,A,-54.723279,158.814794,232.377991,2018-03-02T04:07:05Z,2.4,D,S,PP,2
2597,TR150,A,-54.72327297,158.814745,232.354996,2018-03-02T04:06:38Z,7.8,D,S,PP,2
2597,TR150,A,-54.72330004,158.81489,235.596542,2018-03-02T04:07:54Z,7,U,S,PP,2
2597,TR150,A,-54.72335,158.814824,235.625031,2018-03-02T04:08:10Z,1.8,U,S,PP,2
2597,TR150,A,-54.72327498,158.814793,233.008972,2018-03-02T04:07:07Z,2.4,D,S,PP,2
2597,TR150,A,-54.72330096,158.814885,235.132828,2018-03-02T04:07:51Z,6.5,U,S,PP,2
2605,TR150,A,-54.72294004,158.815059,236.834976,2018-03-02T04:01:17Z,3.2,F,S,PP,3
2605,TR150,A,-54.72294901,158.815076,238.501846,2018-03-02T04:00:58Z,2.7,F,S,PP,3
2605,TR150,A,-54.72294498,158.815062,239.664566,2018-03-02T04:01:08Z,2.8,F,S,PP,3
2605,TR150,A,-54.72292202,158.815031,238.755798,2018-03-02T04:02:15Z,5.7,F,S,PP,3
2605,TR150,A,-54.72292,158.815028,238.755798,2018-03-02T04:02:23Z,6.4,F,S,PP,3
2605,TR150,A,-54.72293199,158.815046,238.725266,2018-03-02T04:01:49Z,4.8,F,S,PP,3
2605,TR150,A,-54.72292101,158.815026,238.755798,2018-03-02T04:02:11Z,6,F,S,PP,3
2605,TR150,A,-54.72292897,158.814993,238.761444,2018-03-02T04:02:43Z,6,F,S,PP,3
2605,TR150,A,-54.72292797,158.814989,238.761444,2018-03-02T04:02:48Z,6,F,S,PP,3
2605,TR150,A,-54.72293199,158.815007,238.761444,2018-03-02T04:02:32Z,6.4,F,S,PP,3
2605,TR150,A,-54.72293098,158.814994,238.761444,2018-03-02T04:02:38Z,6.5,F,S,PP,3
2605,TR150,A,-54.72291598,158.815001,238.76712,2018-03-02T04:03:13Z,4.8,F,S,PP,3
2605,TR150,A,-54.72291799,158.814998,238.76712,2018-03-02T04:03:20Z,4.7,F,S,PP,3
2605,TR150,A,-54.72291799,158.814998,238.76712,2018-03-02T04:03:01Z,5.5,F,S,PP,3
2605,TR150,A,-54.72291799,158.814998,238.76712,2018-03-02T04:03:06Z,4.8,F,S,PP,3
181,TR147,C,-54.71868203,158.815624,201.983017,2018-03-02T01:42:25Z,1.2,F,T,PP,4
181,TR147,C,-54.71866803,158.81562,203.092056,2018-03-02T01:42:44Z,0.7,F,T,PP,4
181,TR147,C,-54.71878898,158.815708,201.938477,2018-03-02T01:39:54Z,0.2,F,T,PP,4
181,TR147,C,-54.71873702,158.815673,202.49527,2018-03-02T01:41:04Z,1.5,F,T,PP,4
184,TR149,A,-54.71868496,158.815254,193.66922,2018-03-02T03:43:55Z,0.5,U,T,PP,3
2612,TR150,A,-54.72167797,158.815548,234.151947,2018-03-02T03:54:48Z,3.5,F,S,PP,8
181,TR147,C,-54.71866099,158.815604,203.671677,2018-03-02T01:43:07Z,0.3,F,T,PP,4
181,TR147,C,-54.718663,158.815611,203.671677,2018-03-02T01:43:15Z,0.4,F,S,PP,4
2612,TR150,A,-54.72169197,158.815558,234.704987,2018-03-02T03:55:17Z,3.6,F,S,PP,8
2612,TR150,A,-54.72169097,158.815567,235.224945,2018-03-02T03:55:46Z,2.8,F,S,PP,8
2612,TR150,A,-54.72169298,158.815555,234.157639,2018-03-02T03:55:06Z,3.5,F,S,PP,8
2612,TR150,A,-54.72168904,158.815558,234.70282,2018-03-02T03:55:12Z,3.6,F,S,PP,8
2612,TR150,A,-54.721827,158.815586,237.394638,2018-03-02T03:57:37Z,1.5,F,S,PP,8
2612,TR150,A,-54.72184301,158.815491,237.929565,2018-03-02T03:57:52Z,3.6,F,S,PP,8
2612,TR150,A,-54.72179398,158.815553,236.900009,2018-03-02T03:56:58Z,1.8,F,S,PP,8
2612,TR150,A,-54.721826,158.815568,236.910187,2018-03-02T03:57:13Z,0.6,F,S,PP,8
2586,TR147,D,-54.72075596,158.81663,220.878067,2018-03-02T01:30:19Z,0.9,D,S,PP,8
2586,TR147,D,-54.72081799,158.816588,224.051544,2018-03-02T01:29:50Z,0.2,D,S,PP,8
2586,TR147,D,-54.72075999,158.81663,220.878067,2018-03-02T01:30:17Z,1.1,D,S,PP,8
2581,TR147,D,-54.71893701,158.815948,199.424377,2018-03-02T01:35:47Z,3,F,S,PP,3
2581,TR147,D,-54.71892603,158.815941,200.432358,2018-03-02T01:36:03Z,3,F,S,PP,3
2581,TR147,D,-54.71897297,158.815988,199.384109,2018-03-02T01:34:48Z,2.4,U,S,PP,3
2581,TR147,D,-54.71893801,158.815958,199.42012,2018-03-02T01:35:37Z,1.5,F,S,PP,3
2581,TR147,D,-54.718921,158.815915,200.711029,2018-03-02T01:36:31Z,1.7,F,S,PP,3
2581,TR147,D,-54.71891999,158.815867,200.723663,2018-03-02T01:36:53Z,0.3,F,S,PP,3
2581,TR147,D,-54.71892502,158.815937,200.432358,2018-03-02T01:36:06Z,3,F,S,PP,3
2581,TR147,D,-54.71892603,158.815935,200.432358,2018-03-02T01:36:08Z,2.6,F,S,PP,3
2593,TR147,D,-54.71884497,158.815823,201.407166,2018-03-02T01:38:02Z,0,F,S,PP,4
2593,TR147,D,-54.71885302,158.815815,201.865631,2018-03-02T01:38:29Z,1,F,T,PP,4
2593,TR147,D,-54.71887599,158.815849,201.37706,2018-03-02T01:37:33Z,0,F,S,PP,4
2593,TR147,D,-54.71886098,158.815838,201.388611,2018-03-02T01:37:46Z,0.2,F,S,PP,4
2383,TR131,A,-54.56822201,158.882718,174.166336,2018-02-11T06:05:37Z,1.2,F,S,JB,5
2383,TR131,A,-54.56823902,158.883958,167.740982,2018-02-11T06:07:06Z,0.4,D,S,JB,5
2382,TR131,A,-54.56819996,158.881001,179.587112,2018-02-11T06:01:40Z,6.5,U,S,JB,5
2387,TR131,A,-54.56818898,158.88145,179.502991,2018-02-11T06:02:52Z,0,U,S,JB,3
2384,TR131,A,-54.56859802,158.886115,159.694244,2018-02-11T06:10:18Z,0.7,D,S,JB,5
2391,TR132,A,-54.58614402,158.893079,180.860657,2018-02-21T01:06:37Z,0.1,F,S,JB,5
2390,TR131,A,-54.56841303,158.885125,162.981125,2018-02-11T06:08:43Z,0.7,D,S,JB,3
2384,TR131,A,-54.568581,158.886117,160.225357,2018-02-11T06:10:03Z,0.4,D,S,JB,5
2391,TR132,A,-54.58556701,158.893213,174.837479,2018-02-21T01:09:54Z,1.7,F,S,JB,5
2391,TR132,A,-54.58555897,158.893251,174.822021,2018-02-21T01:10:24Z,0.6,F,S,JB,5
2391,TR132,A,-54.585924,158.893155,178.549026,2018-02-21T01:08:11Z,1,F,S,JB,5
2391,TR132,A,-54.585881,158.893149,175.356216,2018-02-21T01:08:53Z,0.3,F,S,JB,5
2391,TR132,A,-54.58525898,158.893361,173.727997,2018-02-21T01:11:57Z,1.4,F,S,JB,5
2391,TR132,A,-54.58537297,158.893303,173.756393,2018-02-21T01:11:17Z,0.1,F,S,JB,5
2391,TR132,A,-54.58536099,158.893314,173.750549,2018-02-21T01:11:30Z,0,F,S,JB,5
2365,TR130,A,-54.57410401,158.874056,187.231506,2018-02-11T05:01:44Z,5.4,U,S,JB,3
2359,TR130,A,-54.57229896,158.874562,204.137589,2018-02-11T05:13:08Z,1.8,F,S,JB,5
2372,TR130,A,-54.56835201,158.875269,200.950195,2018-02-11T05:21:19Z,1.6,D,S,JB,8
2359,TR130,A,-54.57231497,158.874594,203.126678,2018-02-11T05:12:27Z,0.5,F,S,JB,5
2359,TR130,A,-54.57230299,158.874593,203.615387,2018-02-11T05:12:35Z,0.9,F,S,JB,5
2381,TR131,A,-54.56782999,158.877323,183.996124,2018-02-11T05:51:33Z,1.5,D,S,JB,5
2382,TR131,A,-54.56785697,158.879458,177.551468,2018-02-11T05:54:17Z,5,F,S,JB,5
2372,TR130,A,-54.56836198,158.87527,200.949905,2018-02-11T05:21:24Z,1.2,D,S,JB,8
2372,TR130,A,-54.56836198,158.87528,200.949905,2018-02-11T05:21:28Z,2,D,S,JB,8
2382,TR131,A,-54.56810902,158.880799,177.30632,2018-02-11T06:00:44Z,3.5,D,S,JB,5
2382,TR131,A,-54.56820097,158.881,179.13147,2018-02-11T06:01:37Z,7,U,S,JB,5
2382,TR131,A,-54.56787801,158.879489,176.975616,2018-02-11T05:54:39Z,10,F,S,JB,5
2382,TR131,A,-54.568005,158.880106,178.817505,2018-02-11T05:59:09Z,3.6,D,S,JB,5
2365,TR130,A,-54.574102,158.874058,187.231506,2018-02-11T05:01:38Z,5.5,U,S,JB,3
2415,TR134,A,-54.57604802,158.893885,205.762451,2018-02-21T03:48:58Z,0.1,D,S,JB,8
