Sample.Label,Region.Label,Area,Brw_number,Effort,distance,size,slope,veg_height,surveyor
2515,5,16.647776,1,0.03361597,0.0003,1,D,S,PP
2515,5,16.647776,2,0.03361597,0.0005,1,D,S,PP
2515,5,16.647776,3,0.03361597,0.0003,1,D,S,PP
2517,5,16.647776,4,0.08733898,0.0014,1,D,S,PP
2515,5,16.647776,5,0.03361597,0.0035,1,D,S,PP
2517,5,16.647776,6,0.08733898,0.0012,1,D,S,PP
2506,8,23.896172,7,0.02923561,0.0028,1,D,S,PP
2573,5,16.647776,8,0.03085919,0.0012,1,D,S,PP
2573,5,16.647776,9,0.03085919,0.0004,1,D,S,PP
2573,5,16.647776,10,0.03085919,0.0028,1,D,S,PP
2573,5,16.647776,11,0.03085919,0.0013,1,D,S,PP
2573,5,16.647776,12,0.03085919,0.0023,1,D,S,PP
2589,6,16.124134,13,0.00284991,0.0012,1,D,S,PP
2573,5,16.647776,14,0.03085919,0.0004,1,D,S,PP
2573,5,16.647776,15,0.03085919,0.0013,1,D,S,PP
2586,8,23.896172,16,0.11453742,0.001,1,U,S,PP
2586,8,23.896172,17,0.11453742,0.0014,1,U,S,PP
2589,6,16.124134,18,0.00284991,0.0009,1,D,S,PP
2586,8,23.896172,19,0.11453742,0.0005,1,U,S,PP
2586,8,23.896172,20,0.11453742,0.0011,1,U,S,PP
2586,8,23.896172,21,0.11453742,0.0024,1,D,S,PP
2586,8,23.896172,22,0.11453742,0.0015,1,U,S,PP
2586,8,23.896172,23,0.11453742,0.0005,1,U,S,PP
2571,5,16.647776,24,0.05715894,0.0005,1,F,S,PP
2571,5,16.647776,25,0.05715894,0.0013,1,F,S,PP
2571,5,16.647776,26,0.05715894,0.0024,1,F,S,PP
2571,5,16.647776,27,0.05715894,0.0006,1,F,S,PP
2577,2,21.142866,28,0.0297592,0.0014,1,F,S,PP
2577,2,21.142866,29,0.0297592,0.0016,1,F,S,PP
2571,5,16.647776,30,0.05715894,0.0023,1,F,S,PP
2577,2,21.142866,31,0.0297592,0.0006,1,F,S,PP
2577,2,21.142866,32,0.0297592,0.0012,1,F,S,PP
2577,2,21.142866,33,0.0297592,0.0021,1,F,S,PP
2577,2,21.142866,34,0.0297592,0.0017,1,F,S,PP
2577,2,21.142866,35,0.0297592,0.0012,1,F,S,PP
2585,8,23.896172,36,0.03035027,0.0025,1,D,S,PP
2573,5,16.647776,37,0.03085919,0.0034,1,D,S,PP
2585,8,23.896172,38,0.03035027,0.0013,1,D,S,PP
2585,8,23.896172,39,0.03035027,0.0023,1,D,S,PP
2584,8,23.896172,40,0.07657459,0.0001,1,D,S,PP
2584,8,23.896172,41,0.07657459,0.0024,1,D,S,PP
