join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
2550,TR145,A,-54.73203398,158.829803,318.326416,2018-03-01T23:41:55Z,AP,P,4.8,F,S,PP,2
2605,TR150,A,-54.72296703,158.81505,238.255966,2018-03-02T04:04:30Z,AP,P,0.5,F,S,PP,3
2597,TR150,A,-54.72327104,158.814752,232.351044,2018-03-02T04:06:13Z,AP,P,7.1,D,S,PP,2
2605,TR150,A,-54.72294004,158.815061,239.040756,2018-03-02T04:01:23Z,AP,P,3.2,F,S,PP,3
2581,TR147,D,-54.71895603,158.81606,199.846985,2018-03-02T01:34:10Z,AP,P,7,U,S,PP,3
2391,TR132,A,-54.585105,158.893376,173.674042,2018-02-21T01:12:51Z,AP,P,2.1,F,S,JB,5
2415,TR134,A,-54.57629202,158.893645,205.537704,2018-02-21T03:47:46Z,AP,P,3.4,U,S,JB,8
2415,TR134,A,-54.576289,158.893521,205.606308,2018-02-21T03:47:04Z,AP,P,2.3,U,S,JB,8
2406,TR134,A,-54.57537998,158.894934,185.331055,2018-02-21T03:54:40Z,AP,P,3.2,F,S,JB,5
2415,TR134,A,-54.57563899,158.894423,193.065277,2018-02-21T03:51:41Z,AP,P,2.5,D,S,JB,8
2391,TR132,A,-54.58382199,158.893676,179.165497,2018-02-21T01:21:39Z,AP,P,2.5,F,S,JB,5
2392,TR132,A,-54.58174797,158.89381,169.875854,2018-02-21T01:27:29Z,AP,P,1.1,F,S,JB,5
2396,TR133,A,-54.58095202,158.892627,169.62233,2018-02-21T01:52:37Z,AP,P,5,F,S,JB,5
2391,TR132,A,-54.58485397,158.89343,172.581833,2018-02-21T01:13:41Z,AP,P,0.3,F,S,JB,5
2391,TR132,A,-54.58391,158.893659,175.689606,2018-02-21T01:18:28Z,AP,P,1.5,F,S,JB,5
2391,TR132,A,-54.58387001,158.893609,177.310135,2018-02-21T01:20:56Z,AP,P,5,F,S,JB,5
2447,TR139,A,-54.74690801,158.816474,303.613739,2018-02-23T05:15:44Z,AP,P,10,D,S,JB,8
2489,TR139,A,-54.74704396,158.816773,291.501984,2018-02-23T05:20:21Z,AP,P,17,D,S,JB,2
2443,TR139,A,-54.74626402,158.813997,307.620728,2018-02-23T05:05:32Z,AP,P,2.8,D,S,JB,2
2446,TR139,A,-54.74612899,158.813931,305.313293,2018-02-23T05:04:08Z,AP,P,15,D,S,JB,8
2441,TR139,A,-54.74621499,158.814249,304.743347,2018-02-23T05:07:15Z,AP,P,16,D,S,JB,5
2444,TR139,A,-54.74646301,158.81471,310.143646,2018-02-23T05:10:00Z,AP,P,15,U,S,JB,2
2493,TR140,A,-54.74623603,158.816816,278.324615,2018-02-23T05:43:02Z,AP,P,6,U,S,JB,8
2238,TR118,A,-54.59339596,158.87671,269.388855,2018-02-10T05:01:20Z,AP,P,11,U,S,PP,5
2238,TR118,A,-54.59349697,158.876811,267.616608,2018-02-10T04:59:58Z,AP,P,9,U,S,PP,5
2242,TR118,A,-54.59529002,158.878936,251.836563,2018-02-10T04:48:22Z,AP,P,3.5,U,S,PP,2
2236,TR118,A,-54.59695199,158.880022,234.689667,2018-02-10T04:37:45Z,AP,P,1.1,U,S,PP,5
2245,TR118,A,-54.59629803,158.879578,241.985504,2018-02-10T04:42:40Z,AP,P,6,U,S,PP,3
2245,TR118,A,-54.59631697,158.879553,249.951126,2018-02-10T04:41:36Z,AP,P,4.1,U,S,PP,3
2292,TR123,A,-54.58391796,158.889225,159.095795,2018-02-10T23:21:14Z,AP,P,5,F,S,PP,5
2259,TR122,A,-54.58357799,158.898622,196.184021,2018-02-10T22:52:23Z,AP,P,0.3,D,S,PP,5
