siteID,groupsize,dist
TR005,1,1.7
TR005,1,0.9
TR005,1,1.7
TR005,1,1.2
TR005,1,0.8
TR005,1,0.3
TR005,1,1
TR005,1,0
TR005,1,3.3
TR005,1,1.1
TR005,1,1.2
TR005,1,0.3
TR005,1,0
TR005,1,0.5
TR005,1,2.1
TR005,1,2
TR005,1,0.8
TR006,1,0.5
TR006,1,6
TR006,1,9
TR006,1,10
TR006,1,7.5
TR006,1,10
TR006,1,6
TR006,1,6
TR006,1,3.7
TR006,1,0
TR006,1,0.8
TR006,1,0
TR006,1,0
TR006,1,1
TR006,1,0
TR006,1,0.7
TR006,1,3.6
TR006,1,2.8
TR006,1,1.1
TR006,1,2.2
TR006,1,1.2
TR006,1,0.6
TR006,1,5
TR007,1,0.5
TR007,1,1.2
TR007,1,1.2
TR007,1,1.4
TR008,1,6
TR008,1,1.5
TR008,1,7
TR008,1,6.5
TR008,1,6
TR008,1,4
TR008,1,1
TR008,1,2.6
TR008,1,2.8
TR008,1,2.2
TR008,1,2.1
TR008,1,0.3
TR008,1,0.3
TR008,1,0.6
TR008,1,0.5
TR008,1,2.9
TR008,1,0.7
TR008,1,1
TR008,1,0.2
TR008,1,1.5
TR008,1,0.9
TR008,1,0.6
TR008,1,1
TR008,1,1.7
TR008,1,0.3
TR008,1,5
TR008,1,5.2
TR008,1,5.5
TR008,1,0.6
TR008,1,1.8
TR008,1,2.2
TR008,1,2.5
TR008,1,3.2
TR008,1,5
TR008,1,4.8
TR008,1,3.4
TR008,1,3
TR008,1,2.7
TR010,1,0.4
TR010,1,0.9
TR010,1,1.1
TR010,1,0
TR010,1,1.1
TR010,1,1.2
TR010,1,1
TR010,1,0.5
TR010,1,3.5
TR010,1,4.8
TR010,1,5
TR010,1,0.9
TR010,1,0.5
TR010,1,2
TR010,1,2.8
TR010,1,3.2
TR010,1,2.3
TR010,1,2.1
TR010,1,1.2
TR010,1,1.1
TR010,1,0.9
TR010,1,1.1
TR010,1,0.7
TR010,1,0.6
TR010,1,0.8
TR010,1,1.2
TR010,1,1.4
TR010,1,1.5
TR010,1,2.5
TR010,1,1.8
TR010,1,2
TR010,1,0.9
TR010,1,0.5
TR010,1,0.9
TR010,1,0.4
TR012,1,1.1
TR012,1,1.1
TR012,1,2
TR013,1,0.1
TR013,1,1.5
TR013,1,0.5
TR013,1,1.2
TR013,1,0.5
TR013,1,0.4
TR013,1,4
TR013,1,2.3
TR013,1,3.8
TR013,1,2.9
TR013,1,1.7
TR013,1,1
TR013,1,0.1
TR013,1,1.6
TR013,1,5
TR013,1,4.2
TR013,1,1.7
TR013,1,1
TR013,1,1
TR013,1,1.4
TR013,1,0.9
TR013,1,1.6
TR013,1,1.4
TR014,1,1.4
TR014,1,0.8
TR014,1,1.1
TR014,1,1.3
TR014,1,1.4
TR014,1,2.1
TR014,1,2.1
TR014,1,2.3
TR014,1,1.5
TR014,1,0
TR014,1,2.2
TR014,1,2
TR014,1,0.3
TR014,1,2.3
TR014,1,3.3
TR014,1,1
TR014,1,0.4
TR015,1,1.6
TR015,1,2.5
TR015,1,1.8
TR015,1,0.4
TR015,1,0.8
TR016,1,1.2
TR016,1,3
TR016,1,2.1
TR016,1,0
TR016,1,7
TR016,1,0.3
TR016,1,0.4
TR016,1,1.3
TR016,1,1.8
TR016,1,1
TR017,1,0.5
TR017,1,2.7
TR017,1,1.3
TR017,1,0.6
TR017,1,1.4
TR017,1,3.2
TR017,1,4
TR017,1,4.1
TR017,1,1.5
TR017,1,1.8
TR017,1,2.8
TR017,1,3.3
TR017,1,3
TR017,1,3
TR017,1,1.6
TR017,1,1.5
TR018,1,0.3
TR018,1,0.3
TR018,1,0.3
TR018,1,1.4
TR018,1,0.8
TR018,1,0.1
TR018,1,1.5
TR018,1,1.3
TR018,1,4.8
TR018,1,4.5
TR018,1,4.3
TR018,1,3.7
TR018,1,2.2
TR018,1,0
TR018,1,0.1
TR018,1,1.5
TR018,1,1.7
TR018,1,0.1
TR018,1,0.6
TR018,1,1
TR018,1,1.4
TR019,1,2
TR020,1,5
TR020,1,4.1
TR020,1,6
TR022,1,0.3
TR022,1,1.5
TR022,1,1.7
TR022,1,2.4
TR022,1,2.7
TR023,1,0.7
TR023,1,2.5
TR023,1,4.5
TR023,1,2.3
TR023,1,0.9
TR023,1,5
TR023,1,0
TR023,1,1
TR023,1,0
TR023,1,0.3
TR023,1,0.4
TR023,1,0
TR023,1,0.2
TR023,1,1.2
TR024,1,3
TR024,1,4
TR024,1,4.1
TR024,1,4
TR024,1,3.1
TR024,1,1
TR024,1,4.5
TR024,1,4.8
TR024,1,0.6
TR024,1,0
TR024,1,0.3
TR024,1,1.6
TR024,1,1.3
TR024,1,2.4
TR024,1,4.1
TR024,1,3.6
TR024,1,0.4
TR024,1,3
TR024,1,2.7
TR024,1,2
TR024,1,1.9
TR029,1,1.6
TR030,1,1.2
