siteID,length,stratum,observer,vegheight,
2530,50.63837,2,PP,Short,#N/A
2531,7.68182,3,PP,Short,#N/A
2532,32.18253,3,PP,Short,#N/A
2533,29.42598,3,PP,Short,#N/A
2534,37.95345,3,PP,Short,#N/A
2535,43.72921,8,PP,Short,#N/A
2536,13.82636,8,PP,Short,#N/A
2521,30.19813,2,PP,Short,#N/A
2522,5.00629,2,PP,Short,1
2523,8.41644,2,PP,Short,1
2524,23.45173,2,PP,Short,#N/A
2525,17.67245,2,PP,Short,#N/A
2526,15.87788,2,PP,Short,#N/A
2527,15.21903,2,PP,Short,#N/A
2528,30.76767,2,PP,Short,#N/A
2513,30.06861,4,PP,Short,#N/A
2514,29.26201,4,PP,Short,#N/A
2515,33.61597,5,PP,Short,1
2516,279.52641,5,PP,Short,#N/A
2517,87.33898,5,PP,Short,1
2518,65.4784,5,PP,Short,1
2519,34.11325,5,PP,Short,1
2520,38.02697,5,PP,Short,1
2505,60.16772,8,PP,Short,#N/A
2506,29.23561,8,PP,Short,1
2507,181.77967,8,PP,Short,1
2508,28.42734,6,PP,Short,#N/A
2509,28.38207,6,PP,Short,#N/A
2510,14.25005,4,PP,Short,#N/A
2511,86.4946,4,PP,Short,#N/A
2512,28.96395,4,PP,Short,#N/A
2497,2.48845,3,PP,Tall,#N/A
2498,44.54466,4,PP,Tall,#N/A
2499,2.24349,3,PP,Tall,#N/A
2500,150.51348,8,PP,Tall,#N/A
2501,11.70711,3,PP,Short,#N/A
2502,58.80307,3,PP,Short,#N/A
2503,28.71012,3,PP,Short,#N/A
2504,18.70675,1,PP,Short,#N/A
2489,23.04687,2,JB,Short,1
2490,56.57897,2,JB,Short,#N/A
2491,28.26705,3,JB,Short,#N/A
2492,28.50536,3,JB,Short,#N/A
2493,146.43636,8,JB,Short,1
2494,28.25802,8,JB,Short,1
2495,28.42793,8,JB,Short,#N/A
2496,57.22001,8,JB,Short,#N/A
2481,48.24498,1,JB,Tall,#N/A
2482,29.52455,1,JB,Tall,#N/A
2483,60.63994,8,JB,Tall,#N/A
2484,20.10515,8,JB,Tall,#N/A
2485,29.0415,4,JB,Tall,#N/A
2486,14.61155,4,JB,Tall,#N/A
2487,28.3043,5,JB,Short,1
2488,50.3061,5,JB,Short,#N/A
2473,25.96545,8,JB,Short,#N/A
2474,15.25317,8,JB,Short,#N/A
2475,87.453,8,JB,Short,1
2476,211.98546,8,JB,Short,1
2477,56.70137,8,JB,Short,#N/A
2478,25.49396,8,JB,Short,#N/A
2479,16.77326,4,JB,Short,#N/A
2480,60.58266,1,JB,Tall,#N/A
2465,41.20682,3,JB,Short,1
2466,32.72019,3,JB,Short,#N/A
2467,53.62765,3,JB,Short,#N/A
2468,16.81419,3,JB,Short,#N/A
2469,59.2695,1,JB,Short,#N/A
2470,287.65587,8,JB,Short,#N/A
2471,54.66481,8,JB,Short,#N/A
2472,42.21329,8,JB,Short,#N/A
2457,28.2206,5,JB,Short,#N/A
2458,84.87387,5,JB,Short,#N/A
2459,5.17129,2,JB,Short,#N/A
2460,29.46559,2,JB,Short,1
2461,21.47604,2,JB,Short,#N/A
2462,28.29288,2,JB,Short,#N/A
2463,5.32683,3,JB,Short,#N/A
2464,30.15689,3,JB,Short,#N/A
2449,156.11054,8,JB,Tall,#N/A
2450,24.42362,7,JB,Tall,#N/A
2451,153.86087,5,JB,Short,#N/A
2452,211.8943,5,JB,Short,1
2453,30.45446,5,JB,Short,1
2454,28.40564,5,JB,Short,#N/A
2455,12.41653,5,JB,Short,1
2456,30.18615,5,JB,Short,#N/A
2441,29.8652,5,JB,Short,1
2442,84.44878,2,JB,Short,1
2443,16.97188,2,JB,Short,1
2444,28.48404,2,JB,Short,#N/A
2445,17.45098,2,JB,Short,1
2446,72.87806,8,JB,Short,1
2447,122.31426,8,JB,Short,1
2448,91.38903,1,JB,Tall,#N/A
2433,17.78386,5,JB,Short,1
2434,179.43895,2,JB,Short,1
2435,11.71016,2,JB,Short,#N/A
2436,29.09812,2,JB,Short,1
2437,102.62965,2,JB,Short,#N/A
2438,60.72992,8,JB,Short,1
2439,11.88576,8,JB,Short,#N/A
