join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
2535,TR144,A,-54.75190496,158.80697,169.320633,2018-03-01T06:04:21Z,WHP,B,3.6,D,S,PP,8
2515,TR144,A,-54.75211401,158.807208,169.390686,2018-03-01T06:05:43Z,WHP,B,1.5,D,S,PP,5
2517,TR144,A,-54.75503099,158.809513,202.854828,2018-03-01T06:15:24Z,WHP,B,0,D,S,PP,5
2505,TR143,A,-54.75663504,158.805268,278.865082,2018-03-01T05:29:19Z,WHP,B,0.1,D,S,PP,8
2505,TR143,A,-54.756643,158.805312,279.673065,2018-03-01T05:29:33Z,WHP,B,2.9,D,S,PP,8
2505,TR143,A,-54.75665096,158.805284,278.04425,2018-03-01T05:28:51Z,WHP,B,1.6,D,S,PP,8
2505,TR143,A,-54.75665004,158.805289,277.578705,2018-03-01T05:28:54Z,WHP,B,2.5,D,S,PP,8
2505,TR143,A,-54.75663302,158.805231,277.221283,2018-03-01T05:30:23Z,WHP,B,3.9,D,S,PP,8
2505,TR143,A,-54.756629,158.805223,278.616943,2018-03-01T05:30:26Z,WHP,B,4.8,D,S,PP,8
2505,TR143,A,-54.75662196,158.80533,278.439331,2018-03-01T05:29:52Z,WHP,B,2.3,D,S,PP,8
2505,TR143,A,-54.75663504,158.805255,278.424683,2018-03-01T05:30:07Z,WHP,B,1.2,D,S,PP,8
2511,TR143,A,-54.75660101,158.805312,279.335815,2018-03-01T05:31:33Z,WHP,B,1.8,D,S,PP,4
2506,TR143,A,-54.75571403,158.805593,221.733688,2018-03-01T05:33:41Z,WHP,B,1,D,S,PP,8
2505,TR143,A,-54.75662397,158.805259,275.029663,2018-03-01T05:30:53Z,WHP,B,0.1,D,S,PP,8
2511,TR143,A,-54.75660201,158.805311,284.7854,2018-03-01T05:31:26Z,WHP,B,3.4,D,S,PP,4
2506,TR143,A,-54.75566399,158.805552,221.797638,2018-03-01T05:35:36Z,WHP,B,1.2,D,S,PP,8
2506,TR143,A,-54.75566299,158.80556,216.59256,2018-03-01T05:34:11Z,WHP,B,3.6,D,S,PP,8
2506,TR143,A,-54.75566399,158.805561,214.264938,2018-03-01T05:34:18Z,WHP,B,4.8,D,S,PP,8
2365,TR130,A,-54.57405003,158.873957,189.43454,2018-02-11T05:03:05Z,WHP,B,1.2,U,S,JB,3
