object,size,distance,transect,Effort,ele,veg_height,person,lat,lon
1069,1,0.2,TR084,1632,201.184738,S,PP,-54.68015998,158.862767
1070,1,0.5,TR084,1632,202.289276,S,PP,-54.68015403,158.86276
1075,1,3.8,TR084,1632,199.379303,S,PP,-54.68012997,158.862772
1076,1,3.4,TR084,1632,200.8759,S,PP,-54.68012896,158.862779
1063,1,0.5,TR084,1632,204.674606,S,PP,-54.68043398,158.862827
1064,1,1,TR084,1632,203.661377,S,PP,-54.68043004,158.862823
1061,1,1.2,TR084,1632,206.762421,S,PP,-54.68045997,158.862818
1062,1,1.5,TR084,1632,205.410217,S,PP,-54.68045603,158.862825
1067,1,0.3,TR084,1632,201.18837,S,PP,-54.68017699,158.862773
1068,1,0.1,TR084,1632,201.184738,S,PP,-54.68015998,158.862766
1065,1,0.5,TR084,1632,205.02774,S,PP,-54.68042501,158.862806
1066,1,0.4,TR084,1632,203.948196,S,PP,-54.68039903,158.862795
1087,1,3.2,TR084,1632,214.451874,S,PP,-54.67708801,158.863063
1088,1,1.3,TR084,1632,213.417923,S,PP,-54.67709002,158.863066
1085,1,3.5,TR084,1632,217.483582,S,PP,-54.67726302,158.863074
1086,1,3,TR084,1632,209.429321,S,PP,-54.67708801,158.863066
1091,1,0.8,TR084,1632,210.345673,S,PP,-54.67703101,158.863055
1092,1,2,TR084,1632,216.336975,S,PP,-54.67703302,158.863052
1089,1,0.9,TR084,1632,213.711929,S,PP,-54.67703202,158.863052
1090,1,0.3,TR084,1632,213.187531,S,PP,-54.67703001,158.863063
1079,1,1.6,TR084,1632,210.091919,S,PP,-54.67798596,158.863094
1080,1,0.3,TR084,1632,210.01503,S,PP,-54.67798596,158.863095
1077,1,1.5,TR084,1632,208.456085,S,PP,-54.67799501,158.863098
1078,1,0.2,TR084,1632,208.955658,S,PP,-54.677993,158.863104
1083,1,1.2,TR084,1632,211.497818,S,PP,-54.67757902,158.863114
1084,1,3.6,TR084,1632,216.174911,S,PP,-54.67725699,158.86307
1081,1,0.1,TR084,1632,210.01503,S,PP,-54.67798596,158.863095
1231,1,1.3,TR099,352.04,170.084534,S,JB,-54.65498996,158.874342
1232,1,0.2,TR099,352.04,170.101868,S,JB,-54.655011,158.874352
1229,1,3.3,TR099,352.04,168.939499,S,JB,-54.65494403,158.874443
1230,1,1.8,TR099,352.04,170.084534,S,JB,-54.65498501,158.874349
1235,1,1.1,TR099,352.04,170.105637,S,JB,-54.65502298,158.874352
1236,1,0.1,TR099,352.04,170.105637,S,JB,-54.65503396,158.874339
1233,1,0.6,TR099,352.04,170.101868,S,JB,-54.65501997,158.874351
1234,1,0.7,TR099,352.04,170.105637,S,JB,-54.65502198,158.874349
1223,1,0.3,TR099,352.04,148.957748,S,JB,-54.653702,158.875709
1221,1,2.1,TR098,1270,148.478821,S,JB,-54.65346303,158.875902
1222,1,0.1,TR098,1270,148.478851,S,JB,-54.65347904,158.875921
1227,1,2.6,TR099,352.04,149.974823,S,JB,-54.65372002,158.87573
1228,1,0.4,TR099,352.04,150.615524,S,JB,-54.653732,158.875668
1225,1,1.5,TR099,352.04,149.962799,S,JB,-54.65370996,158.875706
1226,1,0.7,TR099,352.04,149.967514,S,JB,-54.653717,158.875699
1247,1,1.2,TR100,1155.2,179.877335,S,JB,-54.65638001,158.872964
1248,1,3,TR100,1155.2,172.800644,S,JB,-54.65913297,158.868063
1245,1,3.8,TR099,352.04,171.387192,S,JB,-54.65559597,158.873746
1246,1,7,TR099,352.04,170.235397,S,JB,-54.65563503,158.873625
1251,1,1.8,TR100,1155.2,174.380447,S,JB,-54.65922198,158.867929
1252,1,2.8,TR100,1155.2,174.389648,S,JB,-54.65921503,158.867921
1249,1,2.4,TR100,1155.2,173.39122,S,JB,-54.65917404,158.86799
1250,1,2.7,TR100,1155.2,174.777664,S,JB,-54.65919097,158.867986
1239,1,0.7,TR099,352.04,170.508698,S,JB,-54.65510597,158.874265
1240,1,0.9,TR099,352.04,173.705795,S,JB,-54.65519104,158.87421
1237,1,0.1,TR099,352.04,170.694611,S,JB,-54.65503799,158.874328
1243,1,3.3,TR099,352.04,172.731644,S,JB,-54.65543504,158.874015
1244,1,0.3,TR099,352.04,171.373444,S,JB,-54.65559497,158.873788
1241,1,2.4,TR099,352.04,173.712463,S,JB,-54.65520001,158.874213
1242,1,1.6,TR099,352.04,172.721741,S,JB,-54.65541299,158.874015
1263,1,2.7,TR100,1155.2,157.293839,S,JB,-54.662388,158.862426
1264,1,1.6,TR101,883.42,156.026184,S,JB,-54.663971,158.861962
1261,1,1,TR100,1155.2,177.970444,S,JB,-54.66183303,158.863045
1262,1,3.4,TR100,1155.2,154.993942,S,JB,-54.66239101,158.862419
1267,1,0.5,TR101,883.42,133.728119,S,JB,-54.66547899,158.866337
1268,1,0.5,TR101,883.42,133.225739,S,JB,-54.66547798,158.866342
1265,1,0.3,TR101,883.42,149.181778,S,JB,-54.66419304,158.86257
1266,1,1.4,TR101,883.42,140.122147,S,JB,-54.66527296,158.865818
1255,1,2.1,TR100,1155.2,175.906372,S,JB,-54.65924,158.867887
1256,1,0.3,TR100,1155.2,174.287888,S,JB,-54.66180696,158.863061
1253,1,3.3,TR100,1155.2,174.393906,S,JB,-54.65921897,158.86791
1254,1,3.1,TR100,1155.2,175.887756,S,JB,-54.659239,158.867883
1259,1,0.5,TR100,1155.2,177.464508,S,JB,-54.66181702,158.863033
1260,1,1.3,TR100,1155.2,177.464508,S,JB,-54.66181601,158.863037
1257,1,1.1,TR100,1155.2,174.282288,S,JB,-54.66180604,158.863059
1258,1,1.5,TR100,1155.2,176.841095,S,JB,-54.66180403,158.863039
1279,1,1.1,TR102,3653.8,233.624344,S,JB,-54.62628496,158.871185
1280,1,0.6,TR102,3653.8,234.100204,S,JB,-54.62627297,158.871163
1277,1,1.8,TR102,3653.8,233.641357,S,JB,-54.62626702,158.871187
1278,1,1.3,TR102,3653.8,233.62851,S,JB,-54.62628203,158.871183
1283,1,1.1,TR102,3653.8,236.643646,S,JB,-54.62622402,158.870972
1284,1,0.3,TR102,3653.8,237.186188,S,JB,-54.62622603,158.870985
1281,1,1.4,TR102,3653.8,235.167145,S,JB,-54.62626602,158.871164
