object,Sample.Label,size,distance,Effort
256,1,1,3,20
257,1,1,4,20
258,1,1,4.1,20
259,1,1,4,20
260,1,1,3.1,20
261,2,1,1,20
262,5,1,4.5,20
263,5,1,4.8,20
264,5,1,0.6,20
265,5,1,0,20
266,7,1,0.3,20
267,7,1,1.6,20
268,9,1,1.3,20
270,32,1,4.1,20
271,32,1,3.6,20
273,36,1,0.4,20
274,36,1,3,20
275,36,1,2.7,20
276,36,1,2,20
277,36,1,1.9,20
564,98,1,1,20
565,98,1,0.3,20
566,98,1,0.2,20
567,98,1,1.6,20
583,123,1,3.4,20
584,123,1,3.6,20
585,123,1,4.8,20
586,123,1,5,20
587,123,1,5.8,20
588,123,1,5.5,20
589,138,1,0.5,20
590,138,1,0.7,20
591,138,1,1,20
592,138,1,1.8,20
593,138,1,0.4,20
594,138,1,0.2,20
639,155,1,0.9,20
1035,168,1,1.5,20
1037,170,1,2.3,20
1038,170,1,4.4,20
1043,171,1,4.5,20
1044,171,1,0.5,20
1457,245,1,0.3,20
1458,269,1,1.5,20
1459,269,1,2.6,20
1460,269,1,2.5,20
1461,270,1,2,20
1462,270,1,1.2,20
1463,270,1,2.2,20
1464,270,1,1.1,20
1465,270,1,2.1,20
1466,270,1,1.3,20
1860,291,1,3.1,20
1861,291,1,3.9,20
1862,291,1,3.3,20
1863,291,1,3.9,20
1866,304,1,0.9,20
1867,304,1,2.6,20
1868,305,1,0.6,20
1870,309,1,2,20
1871,309,1,0.7,20
1873,315,1,1.6,20
1874,318,1,1.7,20
1875,318,1,1.1,20
1876,318,1,1.2,20
1877,318,1,0.3,20
1879,335,1,0.7,20
1880,335,1,0.2,20
1881,337,1,0.9,20
1883,337,1,0.1,20
1884,337,1,0,20
1885,337,1,1.4,20
1886,337,1,0.4,20
1887,337,1,0.3,20
2203,351,1,2.9,20
2204,351,1,4,20
2205,351,1,4,20
2206,353,1,1.1,20
2207,353,1,5,20
2208,353,1,5.4,20
2517,376,1,0.2,20
2518,376,1,1.5,20
2519,376,1,1.2,20
2520,376,1,0.7,20
2521,376,1,0.3,20
2522,376,1,0.4,20
2523,396,1,0.5,20
2642,399,1,0.4,20
2643,400,1,0.4,20
2644,400,1,1.5,20
2645,400,1,2.2,20
2646,400,1,2.5,20
2647,400,1,2,20
2648,400,1,1.4,20
2649,400,1,1.5,20
2650,400,1,3.4,20
2651,400,1,3.5,20
2652,400,1,3.3,20
2653,400,1,2.5,20
2654,401,1,3.8,20
2655,403,1,0.2,20
2656,404,1,0.3,20
2657,404,1,0.1,20
2658,404,1,0.9,20
2659,404,1,0.4,20
2660,404,1,1.1,20
2661,404,1,1.2,20
2662,404,1,1.5,20
2663,404,1,1.3,20
2664,423,1,5.5,20
2665,423,1,5.8,20
2666,423,1,6,20
2667,423,1,5,20
2797,480,1,0.2,20
3051,488,1,1.4,20
3052,488,1,1.4,20
3053,488,1,0.5,20
3054,488,1,1.6,20
3055,489,1,0.2,20
3056,489,1,1.4,20
3057,490,1,1.2,20
3058,490,1,2.3,20
3059,490,1,2.2,20
3060,490,1,2.4,20
3061,492,1,0.7,20
3062,496,1,0.5,20
3064,496,1,6,20
3065,498,1,2.1,20
3066,498,1,3.2,20
3067,498,1,4.4,20
3068,498,1,4.2,20
3069,498,1,5.7,20
3070,498,1,6,20
3071,498,1,0.9,20
3072,498,1,0.9,20
3073,498,1,5,20
3074,498,1,4.2,20
3075,498,1,3.9,20
3076,500,1,2.1,20
3077,500,1,2.2,20
3078,500,1,3.4,20
3079,500,1,1.2,20
3080,500,1,2,20
3081,500,1,0.5,20
3082,500,1,4.4,20
3083,500,1,2.6,20
3084,500,1,2.6,20
3085,501,1,4.3,20
3086,501,1,1.3,20
3087,501,1,0.4,20
3088,501,1,0.3,20
3089,501,1,0.5,20
3090,501,1,2.5,20
3091,501,1,1,20
3092,501,1,2.5,20
3093,501,1,1.4,20
3094,501,1,0.9,20
3095,501,1,1.7,20
3096,501,1,2.6,20
3097,501,1,0.6,20
3099,503,1,0.8,20
3101,503,1,1.8,20
3102,503,1,2.1,20
3103,503,1,1.4,20
3104,508,1,0.3,20
3107,535,1,1.1,20
2933,773,1,0.2,20
2934,774,1,0,20
2935,774,1,0.6,20
2936,774,1,1.4,20
2937,774,1,1.2,20
2938,780,1,1.7,20
2939,782,1,1.5,20
2940,782,1,0.3,20
2941,783,1,0,20
2942,783,1,1,20
2943,783,1,0.3,20
2944,783,1,1.6,20
2945,783,1,2.4,20
2946,783,1,3.1,20
2947,784,1,4,20
2948,784,1,4.5,20
2949,784,1,4,20
2950,784,1,2.5,20
2951,784,1,1.6,20
2952,784,1,1.5,20
2953,784,1,1.2,20
2954,784,1,0,20
2955,784,1,0.7,20
2956,784,1,1.3,20
2957,784,1,0.6,20
2958,784,1,1.2,20
2959,784,1,0.5,20
2960,784,1,0.6,20
2961,784,1,1.5,20
2962,784,1,1.5,20
2963,786,1,1.2,20
2964,786,1,1.3,20
2965,786,1,0.2,20
2966,786,1,2.5,20
2967,786,1,5,20
2968,786,1,5,20
2969,786,1,5,20
2970,786,1,5,20
2971,786,1,5,20
2972,788,1,0.3,20
2973,793,1,2.7,20
2974,793,1,5,20
2975,793,1,6,20
2976,793,1,4.5,20
2977,793,1,2.8,20
2978,793,1,5,20
2979,793,1,4.2,20
2980,793,1,3,20
2981,793,1,3.5,20
2982,793,1,1.1,20
2983,793,1,2.3,20
2984,793,1,3.3,20
2985,793,1,1.5,20
2986,793,1,0.6,20
2987,793,1,1.3,20
2988,793,1,2.7,20
2989,793,1,1.1,20
2991,793,1,1.2,20
2990,794,1,0.4,20
2992,794,1,0.7,20
2993,794,1,0.5,20
2994,794,1,0.5,20
2995,794,1,1.5,20
2996,794,1,2.5,20
2997,794,1,2.3,20
2998,794,1,1.2,20
2999,794,1,2.3,20
3000,794,1,3.4,20
3002,810,1,1.4,20
3003,810,1,2.3,20
3004,810,1,0.6,20
3006,812,1,0.2,20
3007,812,1,0.4,20
3008,812,1,1,20
3009,812,1,0.8,20
380,817,1,5,20
381,817,1,2.1,20
382,817,1,0.4,20
383,817,1,1.2,20
384,817,1,1.1,20
385,817,1,2.3,20
388,817,1,0.7,20
389,817,1,0.8,20
386,818,1,1.6,20
390,818,1,0.2,20
391,818,1,1.1,20
392,818,1,0.2,20
393,818,1,0.5,20
394,818,1,1.6,20
395,818,1,1.3,20
396,818,1,0.7,20
397,818,1,2,20
398,818,1,2.7,20
399,818,1,1.5,20
400,818,1,3.1,20
401,818,1,0.6,20
402,818,1,0.4,20
403,819,1,3,20
404,819,1,3.2,20
405,819,1,3.1,20
406,819,1,3,20
408,821,1,0.3,20
409,821,1,0.6,20
410,821,1,1.6,20
411,821,1,1.7,20
412,821,1,2,20
413,821,1,1.9,20
414,821,1,1.1,20
415,821,1,1.6,20
416,821,1,1.5,20
418,822,1,1.5,20
428,823,1,2.9,20
429,823,1,2.1,20
430,823,1,0.6,20
431,823,1,1,20
432,824,1,1.3,20
433,824,1,1.4,20
1,877,1,1.7,20
2,877,1,0.9,20
3,877,1,1.7,20
4,878,1,1.2,20
5,900,1,0.8,20
6,908,1,0.3,20
7,909,1,1,20
8,909,1,0,20
9,909,1,3.3,20
10,911,1,1.1,20
11,911,1,1.2,20
12,911,1,0.3,20
13,911,1,0,20
14,911,1,0.5,20
15,911,1,2.1,20
16,911,1,2,20
17,919,1,0.8,20
18,946,1,0.5,20
20,949,1,6,20
21,949,1,9,20
22,949,1,10,20
23,949,1,7.5,20
24,949,1,10,20
25,949,1,6,20
26,949,1,6,20
27,950,1,3.7,20
28,950,1,0,20
29,950,1,0.8,20
30,950,1,0,20
31,950,1,0,20
32,950,1,1,20
33,950,1,0,20
34,950,1,0.7,20
35,950,1,3.6,20
36,950,1,2.8,20
37,951,1,1.1,20
38,951,1,2.2,20
39,951,1,1.2,20
40,951,1,0.6,20
41,951,1,5,20
46,971,1,6,20
47,979,1,1.5,20
51,992,1,4,20
52,992,1,1,20
53,992,1,2.6,20
55,992,1,2.8,20
56,992,1,2.2,20
57,992,1,2.1,20
58,992,1,0.3,20
59,992,1,0.3,20
60,992,1,0.6,20
61,992,1,0.5,20
62,992,1,2.9,20
64,993,1,0.7,20
65,993,1,1,20
66,993,1,0.2,20
67,994,1,1.5,20
68,994,1,0.9,20
69,994,1,0.6,20
70,994,1,1,20
71,994,1,1.7,20
72,994,1,0.3,20
