x,y,Effort,Transect.Label,Sample.Label,area,elevation_mean,slope_mean
492320.0406,3959583.086,20,TR207,7294,368.72106,9.87058006,9.887294306
492343.2727,3959564.642,20,TR207,7295,383.07006,13.74102802,10.63808999
492356.9491,3959608.34,20,TR207,7292,379.07605,11.09247768,7.02713439
492340.2204,3959597.182,20,TR207,7293,393.22668,11.2297163,7.820347651
492454.0771,3959760.108,20,TR207,7282,391.09765,7.211800635,6.21468633
492459.1763,3959747.767,20,TR207,7283,372.0769,9.62640558,10.68068978
492456.2676,3959802.919,20,TR207,7280,351.2882,6.925457546,5.066037649
492452.3634,3959783.446,20,TR207,7281,392.19299,6.735979164,1.60824327
492441.2364,3959691.307,20,TR207,7286,398.93505,10.31729232,13.13786694
492421.1413,3959683.181,20,TR207,7287,399.69506,10.31996161,9.098131919
492457.9069,3959729.774,20,TR207,7284,398.56262,10.37055936,12.40582905
492453.0177,3959710.027,20,TR207,7285,392.625,10.67558842,13.222057
493242.36,3961004.245,20,TR206,7178,399.86645,17.7654107,1.69618765
493223.98,3960990.957,20,TR206,7179,399.99743,17.33362645,5.310686256
493281.8796,3961009.714,20,TR206,7176,393.98877,17.57822168,6.644154592
493262.0567,3961007.338,20,TR206,7177,399.89965,17.03973627,4.533560364
493164.6093,3960986.954,20,TR206,7182,399.96752,19.21428943,5.837621913
493146.469,3960978.63,20,TR206,7183,399.96069,20.78185737,7.93145009
493202.8356,3960998.184,20,TR206,7180,399.99951,18.31647307,8.442540582
493183.3053,3960993.926,20,TR206,7181,399.99536,19.55235341,4.756825126
493409.1215,3960992.731,20,TR206,7170,399.94641,16.56378359,6.536685449
493395.9141,3960992.747,20,TR206,7171,399.79064,16.30966218,7.433747026
493440.7716,3960992.18,20,TR206,7168,399.91223,16.00036823,4.682040854
493426.1012,3960993.63,20,TR206,7169,398.5216,16.29658527,5.667429194
493335.3392,3961004.822,20,TR206,7174,400,17.69701195,5.911499014
493301.463,3961013.558,20,TR206,7175,399.98522,17.63858998,6.252972136
493364.2656,3960999.447,20,TR206,7172,399.96118,16.47705364,9.598876842
493349.5616,3961004.365,20,TR206,7173,399.67102,17.44575539,9.051536721
492959.0862,3960866.101,20,TR206,7194,399.84704,21.94028002,6.927700052
492944.6721,3960852.241,20,TR206,7195,399.99816,21.88186589,5.503158031
492990.6139,3960890.337,20,TR206,7192,399.99939,21.63289928,7.005905278
492978.9934,3960870.679,20,TR206,7193,399.91626,21.66721106,5.838551853
492908.9946,3960828.877,20,TR206,7198,398.36132,20.52126203,3.811586375
492888.0652,3960841.764,20,TR206,7199,398.98706,20.48890114,3.686864448
492929.7897,3960838.913,20,TR206,7196,365.17773,21.78931584,4.81813818
492909.5563,3960828.867,20,TR206,7197,374.74853,20.92335868,2.814406626
493093.6115,3960950.728,20,TR206,7186,399.87793,21.26086549,5.611251712
493075.7553,3960941.719,20,TR206,7187,400,21.92131937,4.912410479
493129.2108,3960968.524,20,TR206,7184,399.99963,21.2142849,7.92310499
493111.3691,3960959.853,20,TR206,7185,399.14062,21.21571171,5.909053619
493023.2874,3960912.667,20,TR206,7190,399.99719,21.6618217,8.384650332
493005.5413,3960903.643,20,TR206,7191,399.43762,21.81258571,11.1539938
493063.3555,3960923.421,20,TR206,7188,399.98767,22.00612748,4.888896302
493040.6828,3960922.528,20,TR206,7189,399.99792,22.10820818,5.54017245
492671.3293,3960869.846,20,TR206,7210,395.17126,15.66102868,9.471630373
492655.0989,3960858.554,20,TR206,7211,393.61438,16.7898463,10.10969916
492705.5506,3960873.254,20,TR206,7208,388.60949,15.796475,8.66440829
492686.624,3960881.036,20,TR206,7209,395.03271,14.96160686,6.346438371
492624.0691,3960831.61,20,TR207,7214,399.84179,16.57974233,8.7467382
492632.1449,3960815.234,20,TR207,7215,399.97473,15.99245214,5.258838279
492646.6073,3960860.59,20,TR206,7212,389.34082,15.12030256,10.56974675
492632.3517,3960861.392,20,TR207,7213,326.25708,17.46584908,6.597317131
492816.5022,3960858.282,20,TR206,7202,379.08483,18.84310735,4.499703608
492810.2025,3960861.645,20,TR206,7203,357.02856,18.70557861,1.786899412
492872.7335,3960847.841,20,TR206,7200,386.10266,20.42012583,4.303766441
492844.9017,3960852.747,20,TR206,7201,395.67749,19.47752559,5.619967849
492759.8525,3960871.855,20,TR206,7206,398.46484,18.73897731,2.978688387
492741.9,3960877.786,20,TR206,7207,398.95397,17.81559193,6.677474819
492794.796,3960865.351,20,TR206,7204,375.9873,19.10092722,2.742257887
492776.2917,3960870.182,20,TR206,7205,361.76757,18.58774648,5.187557459
492729.9723,3960619.645,20,TR207,7226,395.84399,21.15579224,9.715567654
492740.6749,3960604.463,20,TR207,7227,399.05688,20.56054347,8.896640785
492701.0995,3960653.495,20,TR207,7224,399.80908,18.7226007,4.67969943
492706.2501,3960633.46,20,TR207,7225,372.35083,18.71765995,7.204559036
492777.4192,3960561.84,20,TR207,7230,395.79492,18.34849763,4.281100282
492762.3776,3960541.216,20,TR207,7231,392.09802,17.59920323,2.685075085
492753.0127,3960591.178,20,TR207,7228,399.75122,20.22956422,5.018827613
492766.8285,3960580.153,20,TR207,7229,391.62182,19.66793811,6.204835359
492659.7249,3960755.099,20,TR207,7218,396.12219,16.83289248,7.010939784
492670.0686,3960735.88,20,TR207,7219,375.87341,16.73579148,5.767206822
492642.089,3960793.951,20,TR207,7216,399.90832,16.88752619,10.08452537
492649.8473,3960773.335,20,TR207,7217,399.42407,17.25699711,6.017596278
492685.1869,3960683.889,20,TR207,7222,390.15148,17.99391123,5.363395893
492695.0747,3960663.914,20,TR207,7223,399.99804,17.85912054,5.580296509
492674.8133,3960719.403,20,TR207,7220,395.83691,17.6927194,3.669715473
492680.6235,3960699.53,20,TR207,7221,396.68554,18.41609049,3.89232167
491560.3506,3958955.146,20,TR210,7370,393.89648,5.573103587,3.517199075
491582.6064,3958959.24,20,TR210,7371,398.98742,5.956674001,8.39541087
491519.3588,3958960.757,20,TR210,7368,390.44531,4.856696192,4.17040395
491545.245,3958958.967,20,TR210,7369,398.88586,5.203493065,4.908827025
491623.4923,3958932.658,20,TR210,7374,399.42395,6.448488585,8.403811522
491628.1672,3958919.236,20,TR210,7375,390.09216,7.399871826,7.179436998
491593.177,3958955.563,20,TR210,7372,397.01171,7.381720096,6.403569434
491614.9015,3958949.077,20,TR210,7373,398.98596,6.770153803,8.959692702
492903.06,3959609.423,20,TR208,7362,399.9989,22.56777883,14.91535013
492925.083,3959604.539,20,TR208,7363,399.99121,22.98257685,13.47062824
492871.0621,3959588.136,20,TR208,7360,399.93493,21.49414327,7.622196496
492886.0235,3959601.31,20,TR208,7361,396.18188,25.24312007,20.50101313
492973.8135,3959642.878,20,TR208,7366,338.60888,22.09721009,6.280447612
491504.6712,3958935.444,20,TR210,7367,502.28601,7.126326039,6.040043118
492941.3676,3959620.717,20,TR208,7364,399.33105,23.92745568,9.045067492
492966.7294,3959624.308,20,TR208,7365,391.40173,22.98507428,9.380799109
491782.0452,3958775.786,20,TR210,7386,357.6875,14.40828991,16.39895319
491785.4476,3958785.551,20,TR210,7387,312.84301,14.59130581,11.94813939
491732.5353,3958796.905,20,TR210,7384,399.72863,8.211991142,14.10855363
491753.408,3958780.32,20,TR210,7385,389.01269,9.801075548,14.92186341
491827.4894,3958774.379,20,TR210,7390,399.99829,12.4387015,13.63043961
491849.5414,3958775.831,20,TR210,7391,400,9.506436557,13.54113689
491804.8457,3958757.734,20,TR210,7388,382.8999,13.62457523,10.00940912
491808.9192,3958767.229,20,TR210,7389,363.34399,14.64374135,7.648181809
491661.9126,3958859.549,20,TR210,7378,385.21594,7.66594394,11.72258633
491675.6357,3958853.96,20,TR210,7379,369.12182,10.82278121,14.99152127
491631.6317,3958896.874,20,TR210,7376,397.98144,7.921130498,8.130127006
491645.3751,3958869.845,20,TR210,7377,398.22375,7.255598768,6.654310824
491718.9431,3958833.87,20,TR210,7382,364.65222,8.003764719,17.28739342
491722.8398,3958816.909,20,TR210,7383,399.86254,10.80173257,12.18267303
491700.6204,3958842.317,20,TR210,7380,395.59204,7.915180981,14.62395273
491709.1872,3958837.766,20,TR210,7381,381.51977,7.569797141,16.83233477
491635.5431,3957878.561,20,TR212,7402,399.72656,2.89210552,1.833167718
491655.0128,3957868.748,20,TR212,7403,399.96435,2.786806471,0.490568071
491659.6942,3957914.48,20,TR212,7400,396.83496,2.795645446,2.54128265
491660.3137,3957894.059,20,TR212,7401,398.92858,3.094428748,3.592341346
491638.204,3957799.787,20,TR212,7406,399.84155,5.256672144,9.245874193
491615.1506,3957782.343,20,TR212,7407,399.88879,3.492852703,6.231164846
491647.3598,3957838.941,20,TR212,7404,393.56176,3.481878638,6.111747065
491621.873,3957821.587,20,TR212,7405,392.82714,4.068669387,6.259526761
491894.6668,3958817.034,20,TR210,7394,399.5758,14.21916987,10.01606349
491906.1542,3958833.213,20,TR210,7395,276.11218,13.84569565,8.487191997
491862.0436,3958794.515,20,TR210,7392,399.93811,10.54421419,7.229569966
491879.5729,3958804.051,20,TR210,7393,399.73217,11.4700415,8.64964157
491713.0808,3957902.421,20,TR212,7398,397.72583,4.275479034,7.154553804
491687.596,3957906.127,20,TR212,7399,399.17248,3.845180109,4.620546799
491751.6246,3957902.651,20,TR212,7396,404.62219,6.997842878,4.406957566
491728.4021,3957901.234,20,TR212,7397,397.83386,6.516435305,8.72541928
491479.8685,3957645.358,20,TR212,7418,399.9519,3.359802276,5.131354733
491457.8037,3957645.448,20,TR212,7419,399.99523,3.027452692,3.955260218
